,ID,name,age,sex,breed,date_found,adoptable_from,posted,color,coat,size,neutered,housebroken,likes_people,likes_children,get_along_males,get_along_females,get_along_cats,keep_in
1358,1408,Dzsini,6.0,female,Unknown Mix,2014-03-08,2014-03-08,2014-03-24,black,short,medium,yes,,,,yes,yes,,garden
1359,588,Rasmus,7.5,male,Unknown Mix,2014-03-01,2014-03-01,2014-03-26,golden,short,medium,,,yes,yes,yes,yes,,
1360,579,Cheril,6.92,female,Unknown Mix,2014-03-17,2014-03-17,2014-03-21,brown and white,wirehaired,medium,,,,,yes,yes,,
1361,574,Kitty,6.92,female,Puli,2014-03-11,2014-03-11,2014-03-20,black,wirehaired,medium,,,yes,yes,yes,yes,,
1362,577,Loretta,7.5,female,Dachshund Mix,2014-03-17,2014-03-17,2014-03-21,brown and white,short,medium,,,yes,yes,yes,yes,,
1363,581,Tasso,7.0,male,Unknown Mix,2014-03-17,2014-03-17,2014-03-21,golden,short,medium,,,yes,yes,yes,yes,,
1364,584,Brando,7.83,male,Dachshund Mix,2014-03-19,2014-03-19,2014-03-21,brown,short,medium,,,yes,yes,yes,yes,,
1365,585,Rosienda,6.92,female,Unknown Mix,2014-03-19,2014-03-19,2014-03-21,brown,short,medium,,,yes,yes,yes,yes,,
1366,586,Maci,6.17,male,Unknown Mix,2014-03-20,2014-03-20,2014-03-21,brown,wirehaired,medium,,,,,,,,
1367,576,Colorado,6.92,male,Fox Terrier Mix,2014-03-17,2014-03-17,2014-03-21,black and brown,short,medium,,,yes,yes,yes,yes,,
1368,572,Tyron,6.92,male,Rottweiler Mix,2014-03-11,2014-03-11,2014-03-20,black and brown,short,medium,,,yes,yes,,,,
1369,580,Fergie,11.83,female,Beagle,2014-03-17,2014-03-17,2014-03-21,tricolor,short,medium,,,yes,yes,yes,yes,,
1370,582,Gomez,11.83,male,Staffordshire Terrier,2014-03-17,2014-03-17,2014-03-21,black and white,short,medium,,,yes,yes,,,,
1371,575,Kiwi,6.92,male,Puli,2014-03-11,2014-03-11,2014-03-20,black,wirehaired,medium,,,yes,yes,yes,yes,,
1372,573,Tyson,6.92,male,Rottweiler Mix,2014-03-11,2014-03-11,2014-03-20,black and brown,short,medium,,,yes,yes,,,,
